chapter,x_pos,y_pos,level,radious
1,1030,1525,0,20
1,2310,2275,0,20
1,1235,825,0,20
1,530,1565,1,15
1,690,933,1,15
1,2946,1570,2,12
2,834,1750,0,20
2,2128,1460,0,20
2,465,1985,0,20
2,545,1285,1,20
2,2217,1230,1,15
2,1477,3245,2,15
3,1752,2555,0,20
3,348,820,0,20
3,2880,2773,0,25
3,2828,1305,1,15
3,1760,455,1,20
3,402,1030,2,15
4,1647,2490,0,20
4,408,2319,0,15
4,2870,145,0,20
4,555,677,1,20
4,2575,3770,1,30
4,1930,3222,2,15
5,2560,1695,0,20
5,2100,1700,0,20
5,805,1065,0,20
5,2560,2740,1,20
5,126,2535,1,12
5,2575,1910,2,12
6,1600,1444,0,20
6,2010,2900,0,25
6,670,488,0,20
6,2023,2016,1,20
6,372,2690,1,15
6,2564,1935,2,12
7,2880,3100,0,25
7,2360,1285,0,20
7,1890,1663,0,20
7,2113,2295,1,15
7,1255,2215,1,15
7,2275,1680,2,20
8,2050,3810,0,20
8,2914,1033,0,20
8,2590,1755,0,20
8,1450,1945,1,12
8,2644,2190,1,15
8,709,2176,2,12
9,2660,2245,0,20
9,2370,2630,0,20
9,1565,2260,0,15
9,1100,1638,1,15
9,317,2824,1,20
9,1455,291,2,12
10,1890,1330,0,20
10,2540,1520,0,20
10,2920,2385,0,20
10,1400,1755,1,15
10,1900,1845,1,12
10,2110,1112,2,20
